restaurant_title,restaurant_address,restaurant_page,restaurant_note,restaurant_types,meal_type,sub_category,district
螺絲瑪莉義麵坊,臺北市中山區南京西路12巷13弄9號,https://ifoodie.tw/restaurant/559de4d2c03a103ee86cbc4f-%E8%9E%BA%E7%B5%B2%E7%91%AA%E8%8E%89%E7%BE%A9%E9%BA%B5%E5%9D%8A,https://ifoodie.tw/blog/683492ebeb74c42beacee867/link,找相似餐廳;義式料理;甜點;下午茶,0,義式,中山區
搬湯弄煮（湯煮專賣）-台北八德店,臺北市松山區八德路二段378號,https://ifoodie.tw/restaurant/682a9ce87be9c35aa9ca3e86-%E6%90%AC%E6%B9%AF%E5%BC%84%E7%85%AE-%E6%B9%AF%E7%85%AE%E5%B0%88%E8%B3%A3-%E5%8F%B0%E5%8C%97%E5%85%AB%E5%BE%B7%E5%BA%97,https://ifoodie.tw/blog/68343165189be1694ffb1030/link,找相似餐廳;火鍋;午餐;晚餐,0,台式,松山區
大鼎昌吉街豬血湯,臺北市中山區吉林路319號,https://ifoodie.tw/restaurant/559da20ec03a103ee86c92f5-%E5%A4%A7%E9%BC%8E%E6%98%8C%E5%90%89%E8%A1%97%E8%B1%AC%E8%A1%80%E6%B9%AF,https://ifoodie.tw/blog/6833a4f83cae402b4cb299f4/link,找相似餐廳;小吃;午餐;晚餐,0,台式,中山區
如嬌花膠雞．鍋物仁愛二店,臺北市大安區仁愛路四段300巷20弄12號,https://ifoodie.tw/restaurant/64e490328d3df3e3fd475448-%E5%A6%82%E5%AC%8C-%E8%8A%B1%E8%86%A0%E9%9B%9E-%E9%8D%8B%E7%89%A9-%E4%BB%81%E6%84%9B%E4%BA%8C%E5%BA%97,https://ifoodie.tw/blog/68345c64927f803cae3e4171/link,找相似餐廳;火鍋;約會餐廳;晚餐,0,台式,大安區
饗食天堂台北信義店,臺北市信義區松壽路12號6樓,https://ifoodie.tw/restaurant/559dbba2c03a103ee86ca15e-%E9%A5%97%E9%A3%9F%E5%A4%A9%E5%A0%82-%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%BA%97,https://ifoodie.tw/blog/683468b4a239cbc0fbe37f98/link,找相似餐廳;牛排;精緻高級;午餐;晚餐,0,美式,信義區
點水樓,臺北市中正區懷寧街64號,https://ifoodie.tw/restaurant/55a5b62fc03a10241de67ccb-%E9%BB%9E%E6%B0%B4%E6%A8%93,https://ifoodie.tw/blog/6834316c189be1694ffb1032/link,找相似餐廳;中式料理;小吃;合菜;午餐,0,中式,中正區
Robin'sGrill牛排屋(晶華酒店),臺北市中山區中山北路二段39巷3號2樓,https://ifoodie.tw/restaurant/559d5d91c03a103ee86c69b0-Robin-s-Grill-%E7%89%9B%E6%8E%92%E5%B1%8B-%E6%99%B6%E8%8F%AF,https://ifoodie.tw/blog/68343074350bbc65ab0f0bde/link,找相似餐廳;牛排;美式料理;約會餐廳,0,美式,中山區
福州元祖胡椒餅,臺北市萬華區和平西路三段89巷2弄5號,https://ifoodie.tw/restaurant/559d9b93c03a103ee86c900a-%E7%A6%8F%E5%B7%9E%E5%85%83%E7%A5%96%E8%83%A1%E6%A4%92%E9%A4%85,https://ifoodie.tw/blog/68342ffdf23f9b658374c97e/link,找相似餐廳;小吃;午餐,0,台式,萬華區
京簡康台北伊通店,臺北市中山區伊通街109之2號,https://ifoodie.tw/restaurant/634b6ca8658aba7ec992b4a9-%E4%BA%AC%E7%B0%A1%E5%BA%B7-%E5%8F%B0%E5%8C%97%E4%BC%8A%E9%80%9A%E5%BA%97,https://ifoodie.tw/blog/683413dabd74a41163c40e34/link,找相似餐廳;午餐;晚餐;餐盒,0,其他,中山區
廣一涼麵,臺北市松山區光復北路190巷39號,https://ifoodie.tw/restaurant/5e3b76f38c906d7c6a97e8f7-%E5%BB%A3%E4%B8%80%E6%B6%BC%E9%BA%B5,https://ifoodie.tw/blog/683413dabd74a41163c40e33/link,找相似餐廳;小吃;早餐;午餐,0,台式,松山區
