分類,品項,中杯價,大杯價
找好茶,茉莉綠茶,25,30
找好茶,阿薩姆紅茶,25,30
找好茶,四季春青茶,25,30
找好茶,黃金烏龍,25,30
找好茶,波霸紅茶,30,40
找好茶,波霸綠茶,30,40
找好茶,燕麥綠茶,30,40
找好茶,燕麥紅茶,30,40
找好茶,燕麥青茶,30,40
找好茶,微檸檬紅茶,30,40
找好茶,微檸檬青茶,30,40
找好茶,檸檬綠茶,35,50
找好茶,檸檬青茶,35,50
找好茶,梅果綠,35,50
找好茶,8冰綠,35,50
找好茶,多多綠,35,50
找好茶,冰淇淋紅茶,35,50
找好茶,旺來紅茶,35,50
找好茶,旺來青茶,35,50
找好茶,蜂蜜綠茶（季節限定）,35,50
找好茶,蜂蜜紅茶（季節限定）,35,50
找好茶,鮮柚綠（季節限定）,45,60
找奶茶,奶茶,35,50
找奶茶,奶綠,35,50
找奶茶,烏龍奶茶,35,50
找奶茶,珍珠奶茶,35,50
找奶茶,波霸奶茶,35,50
找奶茶,燕麥奶茶,35,50
找奶茶,燕麥奶青,35,50
找奶茶,蜂蜜奶茶（季節限定）,45,60
找奶茶,布丁奶茶,45,60
找奶茶,冰淇淋奶茶（香草）,45,60
找奶茶,紅茶瑪奇朵（鮮奶油）,35,50
找奶茶,青茶瑪奇朵（鮮奶油）,35,50
找奶茶,阿華田,40,55
找奶茶,燕麥阿華田,40,55
找奶茶,可可芭蕾,45,60
找新鮮,檸檬汁,45,60
找新鮮,檸檬蜜（季節限定）,50,70
找新鮮,金桔檸檬,45,60
找新鮮,金桔檸檬蜜（季節限定）,50,70
找新鮮,檸檬梅汁,45,60
找新鮮,檸檬多多,50,70
找新鮮,葡萄柚汁（季節限定）,45,60
找新鮮,葡萄柚蜜（季節限定）,50,70
找新鮮,葡萄柚多多（季節限定）,50,70
找新鮮,8冰茶,35,50
找拿鐵,紅茶拿鐵,45,60
找拿鐵,綠茶拿鐵,45,60
找拿鐵,烏龍拿鐵,45,60
找拿鐵,珍珠紅茶拿鐵,45,60
找拿鐵,波霸紅茶拿鐵,45,60
找拿鐵,燕麥紅茶拿鐵,45,60
找拿鐵,布丁紅茶拿鐵,50,70
找拿鐵,冰淇淋紅茶拿鐵,50,70
找拿鐵,抹茶拿鐵,50,70
找拿鐵,波霸抹茶拿鐵,50,70
找拿鐵,阿華田拿鐵,50,70
找拿鐵,可可芭蕾拿鐵,50,70
