分類,品項,中杯價,大杯價
茶底,綠茶,25,30
茶底,紅茶,25,30
茶底,烏龍青茶,30,35
茶底,青茶,30,35
茶底,金萱茶,30,35
茶底,伯爵紅茶,35,40
茶底,東方美人,50,55
茶底,大吉嶺莊園紅茶,50,55
茶底,月光青茶,50,55
茶底,翡冷萃綠茶,50,55
奶茶,奶茶,35,45
奶茶,奶綠,35,45
奶茶,珍珠奶茶,40,50
奶茶,伯爵奶茶,40,50
奶茶,觀音奶茶,40,50
奶茶,巧克力奶茶,45,55
奶茶,熊貓奶茶,50,60
鮮奶茶,紅茶鮮奶茶,45,55
鮮奶茶,金萱鮮奶茶,50,60
鮮奶茶,招牌鮮奶茶,50,60
鮮奶茶,芋頭鮮奶茶,55,65
鮮奶茶,黑糖珍珠鮮奶茶,50,60
特調,冬瓜玉露,50,55
特調,玉露鐵觀音,45,50
特調,玫瑰荔枝紅,45,50
特調,桂花烏龍茶,45,50
特調,梅子綠茶,45,50
冰沙,綠豆沙,45,50
冰沙,綠豆沙牛奶,50,55
冰沙,檸檬柚香冰沙,50,55
鮮果特調,安蘋紅茶,45,50
鮮果特調,多多綠,50,55
鮮果特調,金桔檸檬,50,55
鮮果特調,冬瓜檸檬,45,50
鮮果特調,百香綠,45,50
鮮果特調,檸檬青,50,55
鮮果特調,檸蜜蘆薈,50,55
