分類,品項,中杯價,大杯價
和風茶,八曜和茶,35,35
和風茶,和風308,50,50
和風茶,83蜂凝露,55,55
和風茶,和風307,50,50
和風茶,究極308,42,42
和風茶,朝日覺醒紅茶,40,40
和風茶,美研巡暢茶,35,35
和風茶,83蜂見茶(紅/307/綠茶),60,60
自然茶,極上307,37,37
自然茶,舞伎406紅茶,46,46
自然茶,大地覺醒紅茶,35,35
自然茶,焙煎烏龍茶,35,35
自然茶,晨香綠茶,35,35
自然茶,明日清爽茶,35,35
自然茶,茶花油切甘露,40,40
纖果爽,寧夏307,60,60
纖果爽,茶花油切檸檬茶,50,50
纖果爽,京楓檸檬紅茶,50,50
纖果爽,八曜黑檸檬茶,55,55
纖果爽,明日清爽檸檬茶,55,55
纖果爽,83蜂檸爽爽,65,65
纖果爽,柚香覺醒307,67,67
纖果爽,柚香覺醒紅茶,65,65
纖果爽,八曜双C纖檸露,50,50
鮮乳定制 茶乳,八曜和風,55,65
鮮乳定制 茶乳,茶花雲霧,60,70
鮮乳定制 茶乳,牧場覺醒,55,65
鮮乳定制 茶乳,牧場黑烏龍,60,70
鮮乳定制 茶乳,牧場307,65,75
鮮乳定制 茶乳,牧場308,65,75
鮮乳定制 茶乳,贅沢香焙歐蕾,66,76
厚奶茶,覺醒奶茶,55,55
厚奶茶,晨香奶綠,50,50
厚奶茶,匠心奶茶,60,60
厚奶茶,冬の恋奶茶,66,66
厚奶茶,深煎黑龍奶茶,55,55
厚奶茶,308炙燒濃乳,66,66
厚奶茶,雪匠奶茶,69,69
厚奶茶,83蜂潮奶茶,69,69
厚奶茶,京彩舞伎奶茶,66,66
乳酸樂多,樂多307,70,70
乳酸樂多,樂多308,70,70
乳酸樂多,八曜樂多,60,60
乳酸樂多,明日樂多,60,60
乳酸樂多,晨香樂多,60,60
