分類,品項,中杯價,大杯價
品茗精選,島嶼紅茶,30,35
品茗精選,普通紅茶,30,35
品茗精選,宣嶼綠茶,30,35
品茗精選,琥珀烏龍,30,35
品茗精選,金萱青茶,30,35
品茗精選,烏龍鐵觀音,30,35
鮮奶茶,蘭葉那堤,55,65
鮮奶茶,鐵觀音那堤,50,60
鮮奶茶,茉莉那堤,50,60
鮮奶茶,黑糖珍珠鮮奶,65,65
鮮奶茶,紅豆粉粿鮮奶,65,65
鮮奶茶,燕麥蘭葉那堤,70,80
手路調飲,蜂蜜金萱/琥珀,45,50
手路調飲,金萱珍波粉,50,60
手路調飲,金桔愛玉檸檬,45,55
手路調飲,杏仁荷葉露,45,50
醇濃奶香,萬波奶茶,40,50
醇濃奶香,普通奶茶,40,50
醇濃奶香,芋圓茉香奶綠,50,60
醇濃奶香,鐵觀音奶茶,40,50
醇濃奶香,波霸奶茶,50,60
醇濃奶香,宣嶼奶綠,40,50
鮮萃果香,島嶼檸檬茶王,50,60
鮮萃果香,白柚烏龍/翡翠/金萱,65,75
鮮萃果香,紅蘋島嶼,50,60
鮮萃果香,坎里甘蔗青,50,60
鮮萃果香,翠涎香檸綠,50,60
鮮萃果香,大青梅果綠,50,60
鮮萃果香,熏香煙燻烏梅,55,65
鮮萃果香,甘蔗檸檬,55,65
冬季,芋頭鮮奶,70,80
冬季,芋頭波霸鮮奶,75,85
冬季,芋芋三混圓,75,85
冬季,春橙翡翠/烏龍,65,75
冬季,春橙愛玉露,65,75
永良老頭家,永良冬瓜露,30,40
永良老頭家,冬瓜金萱青,35,45
永良老頭家,冬瓜鮮奶,50,60
永良老頭家,冬瓜檸檬,40,50
