分類,品項,中杯價,大杯價
季節限定,太妃奶茶,50,60
季節限定,莓奶霜草莓奶酪,,95
季節限定,紅心芭樂翡翠青,55,65
季節限定,紅心芭樂翡翠青凍,55,65
季節限定,大妃奶綠愛文果,65,75
季節限定,開心果奶霜奶茶,65,75
季節限定,開心果奶霜烏龍,65,75
季節限定,柚蜜青檸冬瓜,40,50
季節限定,檸檬青檸冬瓜,40,50
酉茶,經典五桐茶,30,35
酉茶,杏仁凍五桐茶,,49
酉茶,養生菊香王,30,35
酉茶,老實人紅茶,30,35
酉茶,一把青茶,30,35
酉茶,茉莉香片,30,35
酉茶,清香烏龍,30,35
鮮奶,五桐茶拿鐵,50,60
鮮奶,綠茶凍五桐茶拿鐵,,65
鮮奶,仙草凍紅茶拿鐵,,60
鮮奶,烏龍拿鐵,50,60
鮮奶,茉莉綠茶拿鐵,50,60
鮮奶,珍珠鮮奶茶,60,70
奶霜,五桐奶霜,45,55
奶霜,老實人奶霜紅茶,45,55
奶霜,茉莉奶霜綠茶,45,55
奶霜,清香奶霜烏龍,45,55
奶茶,五桐奶茶,45,55
奶茶,綠茶凍五桐奶茶,,60
奶茶,老實人奶茶,45,55
奶茶,黑武士沖繩奶,55,65
奶茶,黑武士珍珠奶茶,55,65
奶茶,仙草凍奶茶,55,65
奶茶,茉莉綠奶茶,45,55
奶茶,珍珠奶茶,55,65
奶茶,老實人奶茶,45,55
豐釀,青梅烏龍凍飲,45,50
豐釀,青梅凍翡翠飲,45,50
豐釀,荔枝青茶凍飲,55,60
豐釀,桂花凍飲,50,55
豐釀,桃氣果凍飲,50,55
豐釀,荔枝翡翠多多,55,60
豐釀,青梅多多凍飲,55,60
豐釀,荔枝多多凍飲,55,60
豐釀,青梅多多凍飲,55,60
豐釀,烏梅多多凍飲,59,69
